"global-jp.link.ac.cn:443","0"
"global-tw.link.ac.cn:152","0"
"global-us.link.ac.cn:152","0"
"fmt1.link.ac.cn:995","0"
"fmt2.link.ac.cn:995","0"
"eu1.link.ac.cn:152","0"
"eu2.link.ac.cn:152","0"
"hk2.link.ac.cn:152","0"
"las.link.ac.cn:152","0"
"london1.link.ac.cn:152","0"
"london2.link.ac.cn:152","0"
"lax.link.ac.cn:152","0"
"lax2.link.ac.cn:152","0"
"lax3.link.ac.cn:152","0"
"lax4.link.ac.cn:152","0"
"sfo.link.ac.cn:152","0"
"sin.link.ac.cn:152","0"
"sydney1.link.ac.cn:995","0"
"tw1.link.ac.cn:152","0"
"tw2.link.ac.cn:152","0"
"tokyo.link.ac.cn:152","0"
"tokyo2.link.ac.cn:152","0"
"tokyo3.link.ac.cn:152","0"
"tokyo4.link.ac.cn:152","0"